review_id,platform,review_text,true_label,predicted_label
1,Google Maps,"The food was delicious and the service was fast",positive,positive
2,Yelp,"The food was cold and the delivery took too long",negative,negative
3,Uber Eats,"Absolutely love getting cold fries after waiting forever",negative,positive
4,DoorDash,"Great taste but terrible service",negative,negative
5,Google Maps,"Amazing experience, will come again!",positive,positive
6,Yelp,"Not bad",positive,negative
7,Uber Eats,"The driver was rude and the food arrived late",negative,negative
8,DoorDash,"Pretty good overall",positive,positive
9,Google Maps,"Food was okay but the wait time was unacceptable",negative,positive
10,Yelp,"Excellent quality and friendly staff",positive,positive
11,Uber Eats,"Worst experience ever",negative,negative
12,DoorDash,"I guess it was fine",positive,negative
13,Google Maps,"Cold food but nice packaging",negative,positive
14,Yelp,"Loved the dessert!",positive,positive
15,Uber Eats,"Took forever to arrive",negative,negative
16,DoorDash,"Super tasty and fresh",positive,positive
17,Google Maps,"Service was slow but food was good",negative,positive
18,Yelp,"Awful experience",negative,negative
19,Uber Eats,"Quick delivery and hot food",positive,positive
20,DoorDash,"Not great",negative,positive
21,Google Maps,"Food was amazing",positive,positive
22,Yelp,"Terrible customer service",negative,negative
23,Uber Eats,"Arrived late but still warm",negative,positive
24,DoorDash,"Best meal ever",positive,positive
25,Google Maps,"Mediocre food",negative,positive
26,Yelp,"Absolutely fantastic",positive,positive
27,Uber Eats,"Cold and soggy fries",negative,negative
28,DoorDash,"Decent quality",positive,positive
29,Google Maps,"Waited too long",negative,negative
30,Yelp,"Loved everything",positive,positive
31,Uber Eats,"Food arrived cold",negative,negative
32,DoorDash,"Pretty average",positive,negative
33,Google Maps,"Great service",positive,positive
34,Yelp,"Bad experience",negative,negative
35,Uber Eats,"Driver got lost",negative,negative
36,DoorDash,"Delicious and quick",positive,positive
37,Google Maps,"Not worth the price",negative,negative
38,Yelp,"Amazing flavors",positive,positive
39,Uber Eats,"Late delivery again",negative,negative
40,DoorDash,"Very satisfied",positive,positive
41,Google Maps,"Food was okay",positive,negative
42,Yelp,"Extremely slow service",negative,negative
43,Uber Eats,"Loved the burger",positive,positive
44,DoorDash,"Cold meal again",negative,negative
45,Google Maps,"Fantastic experience",positive,positive
46,Yelp,"Never ordering again",negative,negative
47,Uber Eats,"Food was fine",positive,negative
48,DoorDash,"Service was excellent",positive,positive
49,Google Maps,"Terrible wait time",negative,negative
50,Yelp,"Great portions",positive,positive
51,Uber Eats,"Food arrived late",negative,negative
52,DoorDash,"Pretty good food",positive,positive
53,Google Maps,"Bad quality",negative,negative
54,Yelp,"Loved the staff",positive,positive
55,Uber Eats,"Cold pizza",negative,negative
56,DoorDash,"Tasty and fresh",positive,positive
57,Google Maps,"Too expensive",negative,negative
58,Yelp,"Highly recommend",positive,positive
59,Uber Eats,"Driver was late",negative,negative
60,DoorDash,"Food was okay",positive,negative
61,Google Maps,"Excellent service",positive,positive
62,Yelp,"Food was terrible",negative,negative
63,Uber Eats,"Fast delivery",positive,positive
64,DoorDash,"Bad packaging",negative,negative
65,Google Maps,"Loved the meal",positive,positive
66,Yelp,"Not fresh",negative,negative
67,Uber Eats,"Arrived quickly",positive,positive
68,DoorDash,"Very disappointing",negative,negative
69,Google Maps,"Great experience",positive,positive
70,Yelp,"Slow and cold",negative,negative
71,Uber Eats,"Amazing taste",positive,positive
72,DoorDash,"Food was bad",negative,negative
73,Google Maps,"Very good",positive,positive
74,Yelp,"Never again",negative,negative
75,Uber Eats,"Hot and fresh",positive,positive
76,DoorDash,"Cold food",negative,negative
77,Google Maps,"Loved it",positive,positive
78,Yelp,"Terrible",negative,negative
79,Uber Eats,"Great delivery",positive,positive
80,DoorDash,"Bad service",negative,negative
81,Google Maps,"Nice place",positive,positive
82,Yelp,"Horrible food",negative,negative
83,Uber Eats,"Fast service",positive,positive
84,DoorDash,"Not good",negative,positive
85,Google Maps,"Amazing",positive,positive
86,Yelp,"Worst ever",negative,negative
87,Uber Eats,"Loved everything",positive,positive
88,DoorDash,"Very bad",negative,negative
89,Google Maps,"Great food",positive,positive
90,Yelp,"Disappointing",negative,negative
91,Uber Eats,"Food was okay",positive,negative
92,DoorDash,"Terrible delivery",negative,negative
93,Google Maps,"Good quality",positive,positive
94,Yelp,"Bad taste",negative,negative
95,Uber Eats,"Quick and tasty",positive,positive
96,DoorDash,"Food arrived late",negative,negative
97,Google Maps,"Fantastic",positive,positive
98,Yelp,"Hated it",negative,negative
99,Uber Eats,"Very nice",positive,positive
100,DoorDash,"Awful",negative,negative
101,Google Maps,"Loved it so much",positive,positive
102,Yelp,"Food was cold again",negative,negative
103,Uber Eats,"Very fast",positive,positive
104,DoorDash,"Terrible quality",negative,negative
105,Google Maps,"Excellent food",positive,positive
106,Yelp,"Very slow",negative,negative
107,Uber Eats,"Perfect",positive,positive
108,DoorDash,"Bad experience",negative,negative
109,Google Maps,"Nice food",positive,positive
110,Yelp,"Awful service",negative,negative
111,Uber Eats,"Loved the taste",positive,positive
112,DoorDash,"Cold and late",negative,negative
113,Google Maps,"Great",positive,positive
114,Yelp,"Worst service",negative,negative
115,Uber Eats,"Quick delivery",positive,positive
116,DoorDash,"Not fresh",negative,negative
117,Google Maps,"Very good service",positive,positive
118,Yelp,"Bad overall",negative,negative
119,Uber Eats,"Amazing food",positive,positive
120,DoorDash,"Terrible wait",negative,negative
